"","num","AAA.x","GAA.x","CAA.x","TAA.x","AGA.x","GGA.x","CGA.x","TGA.x","ACA.x","GCA.x","CCA.x","TCA.x","ATA.x","GTA.x","CTA.x","TTA.x","AAG.x","GAG.x","CAG.x","TAG.x","AGG.x","GGG.x","CGG.x","TGG.x","ACG.x","GCG.x","CCG.x","TCG.x","ATG.x","GTG.x","CTG.x","TTG.x","AAC.x","GAC.x","CAC.x","TAC.x","AGC.x","GGC.x","CGC.x","TGC.x","ACC.x","GCC.x","CCC.x","TCC.x","ATC.x","GTC.x","CTC.x","TTC.x","AAT.x","GAT.x","CAT.x","TAT.x","AGT.x","GGT.x","CGT.x","TGT.x","ACT.x","GCT.x","CCT.x","TCT.x","ATT.x","GTT.x","CTT.x","TTT.x","class.x","AAA.y","GAA.y","CAA.y","TAA.y","AGA.y","GGA.y","CGA.y","TGA.y","ACA.y","GCA.y","CCA.y","TCA.y","ATA.y","GTA.y","CTA.y","TTA.y","AAG.y","GAG.y","CAG.y","TAG.y","AGG.y","GGG.y","CGG.y","TGG.y","ACG.y","GCG.y","CCG.y","TCG.y","ATG.y","GTG.y","CTG.y","TTG.y","AAC.y","GAC.y","CAC.y","TAC.y","AGC.y","GGC.y","CGC.y","TGC.y","ACC.y","GCC.y","CCC.y","TCC.y","ATC.y","GTC.y","CTC.y","TTC.y","AAT.y","GAT.y","CAT.y","TAT.y","AGT.y","GGT.y","CGT.y","TGT.y","ACT.y","GCT.y","CCT.y","TCT.y","ATT.y","GTT.y","CTT.y","TTT.y","class.y"
"1",1,0,0,9.9721125e-05,3.311634375e-05,3.9987675e-05,0,2.12632875e-05,6.3551840625e-05,6.648075e-05,4.2526575e-05,0.000106052625,0.000140875875,0,6.3551840625e-05,3.521896875e-05,0.0001754377734375,1.99938375e-05,5.1158835e-05,8.505315e-05,2.1183946875e-05,2.55794175e-05,0,1.360175375e-05,2.7102001875e-05,2.12632875e-05,1.360175375e-05,2.26133375e-05,4.505791875e-05,2.1183946875e-05,6.77550046875e-05,6.7586878125e-05,8.9779584375e-05,6.648075e-05,2.12632875e-05,7.070175e-05,7.04379375e-05,4.2526575e-05,4.080526125e-05,2.26133375e-05,6.7586878125e-05,0.000106052625,6.78400125e-05,0.000112786125,0.00018727546875,7.04379375e-05,6.7586878125e-05,0.00026218565625,0.0001119460078125,3.311634375e-05,2.1183946875e-05,7.04379375e-05,0.0001754377734375,8.47357875e-05,2.7102001875e-05,4.505791875e-05,0.00011222448046875,3.521896875e-05,6.7586878125e-05,0.0002247305625,0.00014926134375,0.000210525328125,4.48897921875e-05,0.0001119460078125,0.0001487043984375,"0",0.0003750705,1.99938375e-05,0.0001329615,0.0001986980625,3.9987675e-05,0,0,8.47357875e-05,0.000166201875,2.12632875e-05,3.5350875e-05,3.521896875e-05,0.000132465375,2.1183946875e-05,0.00010565690625,0.0003859631015625,5.99815125e-05,1.278970875e-05,0,4.236789375e-05,0,0,0,2.7102001875e-05,0,0,0,0,4.236789375e-05,1.35510009375e-05,4.505791875e-05,8.9779584375e-05,0.000166201875,4.2526575e-05,3.5350875e-05,0.00017609484375,4.2526575e-05,1.360175375e-05,0,2.2528959375e-05,3.5350875e-05,0,0,7.49101875e-05,0,0,7.49101875e-05,7.4630671875e-05,9.934903125e-05,4.236789375e-05,0.000140875875,0.000210525328125,4.236789375e-05,1.35510009375e-05,0,4.48897921875e-05,0.00024653278125,6.7586878125e-05,7.49101875e-05,3.73153359375e-05,0.0003157879921875,4.48897921875e-05,0.000223892015625,0.0004461131953125,"0"
"2",2,0.000156279375,5.99815125e-05,9.9721125e-05,9.934903125e-05,5.99815125e-05,2.55794175e-05,0,0.000105919734375,6.648075e-05,0.000127579725,7.070175e-05,3.521896875e-05,6.62326875e-05,0.000105919734375,3.521896875e-05,0.00014035021875,7.997535e-05,1.278970875e-05,8.505315e-05,0.000105919734375,2.55794175e-05,0,1.360175375e-05,2.7102001875e-05,0,0,2.26133375e-05,0,4.236789375e-05,5.420400375e-05,2.2528959375e-05,0.00015711427265625,3.3240375e-05,4.2526575e-05,3.5350875e-05,7.04379375e-05,0.0001063164375,2.72035075e-05,0,2.2528959375e-05,0,4.5226675e-05,7.519075e-05,3.745509375e-05,3.521896875e-05,2.2528959375e-05,0,7.4630671875e-05,0.000132465375,6.3551840625e-05,0.00010565690625,0.0001052626640625,8.47357875e-05,1.35510009375e-05,0,0.0001346693765625,0.000140875875,0,0,7.4630671875e-05,0.0002807004375,2.244489609375e-05,0.00014926134375,0.0004461131953125,"0",3.1255875e-05,7.997535e-05,3.3240375e-05,0,0.0001399568625,6.394854375e-05,4.2526575e-05,6.3551840625e-05,3.3240375e-05,6.37898625e-05,0.000176754375,0.00010565690625,6.62326875e-05,6.3551840625e-05,0,0,3.9987675e-05,6.394854375e-05,0.0001063164375,6.3551840625e-05,5.1158835e-05,8.181353375e-06,0,6.77550046875e-05,2.12632875e-05,0,4.5226675e-05,0,4.236789375e-05,2.7102001875e-05,0.00013517375625,6.733468828125e-05,0,0.0001701063,7.070175e-05,3.521896875e-05,4.2526575e-05,2.72035075e-05,0,6.7586878125e-05,0.00021210525,6.78400125e-05,0.000263167625,0.00011236528125,0.00010565690625,4.505791875e-05,0.000149820375,0,9.934903125e-05,0,0.000140875875,3.50875546875e-05,4.236789375e-05,2.7102001875e-05,2.2528959375e-05,4.48897921875e-05,0.00010565690625,2.2528959375e-05,0.00018727546875,0.0001119460078125,3.50875546875e-05,2.244489609375e-05,7.4630671875e-05,3.7176099609375e-05,"0"
"3",3,0.00018753525,1.99938375e-05,0.000166201875,9.934903125e-05,0,2.55794175e-05,2.12632875e-05,2.1183946875e-05,0.0001329615,4.2526575e-05,0.000106052625,0.00017609484375,0.00016558171875,4.236789375e-05,7.04379375e-05,0,5.99815125e-05,1.278970875e-05,4.2526575e-05,0,1.278970875e-05,2.4544060125e-05,0,4.06530028125e-05,0,0,2.26133375e-05,0,4.236789375e-05,5.420400375e-05,9.01158375e-05,8.9779584375e-05,6.648075e-05,2.12632875e-05,0.000106052625,3.521896875e-05,6.37898625e-05,0,0,6.7586878125e-05,3.5350875e-05,4.5226675e-05,0,0.00011236528125,0.00010565690625,0.000112644796875,0.00018727546875,0.00014926134375,9.934903125e-05,2.1183946875e-05,0.000140875875,0.0001754377734375,4.236789375e-05,2.7102001875e-05,0,0.00015711427265625,7.04379375e-05,4.505791875e-05,7.49101875e-05,0.000373153359375,0.0001052626640625,0,0.0001865766796875,0.000185880498046875,"0",0,0,6.648075e-05,0,5.99815125e-05,0,0,0.000105919734375,3.3240375e-05,4.2526575e-05,0.0001414035,0.000140875875,0,6.3551840625e-05,7.04379375e-05,7.0175109375e-05,1.99938375e-05,3.836912625e-05,0.000127579725,6.3551840625e-05,2.55794175e-05,2.4544060125e-05,0,5.420400375e-05,0,1.360175375e-05,0,2.2528959375e-05,8.47357875e-05,8.1306005625e-05,0.00013517375625,4.48897921875e-05,3.3240375e-05,2.12632875e-05,7.070175e-05,3.521896875e-05,8.505315e-05,4.080526125e-05,0,9.01158375e-05,7.070175e-05,9.045335e-05,3.7595375e-05,0.00011236528125,3.521896875e-05,2.2528959375e-05,0.00026218565625,0.0001119460078125,0,8.47357875e-05,3.521896875e-05,0.0001052626640625,8.47357875e-05,4.06530028125e-05,4.505791875e-05,0.00011222448046875,7.04379375e-05,9.01158375e-05,0.00018727546875,0.00014926134375,0.00014035021875,6.733468828125e-05,0,0.000260232697265625,"0"
"4",4,3.1255875e-05,3.9987675e-05,3.3240375e-05,0.000132465375,3.9987675e-05,1.278970875e-05,0,4.236789375e-05,6.648075e-05,4.2526575e-05,0.000106052625,0.00010565690625,0.00016558171875,6.3551840625e-05,0.000140875875,0.0001052626640625,1.99938375e-05,0,2.12632875e-05,2.1183946875e-05,0,0,0,5.420400375e-05,0,0,0,2.2528959375e-05,2.1183946875e-05,1.35510009375e-05,9.01158375e-05,0.00011222448046875,9.9721125e-05,0,0.000106052625,7.04379375e-05,0,2.72035075e-05,0,4.505791875e-05,7.070175e-05,2.26133375e-05,0.000187976875,0.00011236528125,0.000140875875,2.2528959375e-05,3.745509375e-05,0.0002612073515625,6.62326875e-05,6.3551840625e-05,0.00017609484375,0.0002807004375,2.1183946875e-05,1.35510009375e-05,2.2528959375e-05,8.9779584375e-05,0.000140875875,2.2528959375e-05,0.00011236528125,0.000223892015625,0.0002807004375,4.48897921875e-05,0.0001865766796875,0.0004461131953125,"0",0.000531349875,9.99691875e-05,0,0.000132465375,7.997535e-05,3.836912625e-05,0,2.1183946875e-05,3.3240375e-05,0,0.000176754375,0,0.00016558171875,6.3551840625e-05,7.04379375e-05,0.0001754377734375,3.9987675e-05,1.278970875e-05,4.2526575e-05,8.47357875e-05,3.836912625e-05,0,1.360175375e-05,1.35510009375e-05,2.12632875e-05,0,2.26133375e-05,0,4.236789375e-05,2.7102001875e-05,4.505791875e-05,6.733468828125e-05,9.9721125e-05,0,7.070175e-05,7.04379375e-05,2.12632875e-05,1.360175375e-05,0,4.505791875e-05,0.000106052625,2.26133375e-05,0.000112786125,0.00011236528125,3.521896875e-05,0,3.745509375e-05,0.0001119460078125,0.000132465375,4.236789375e-05,7.04379375e-05,0.000210525328125,2.1183946875e-05,1.35510009375e-05,2.2528959375e-05,0.00011222448046875,7.04379375e-05,6.7586878125e-05,3.745509375e-05,7.4630671875e-05,0.000210525328125,6.733468828125e-05,0.0001119460078125,0.000408937095703125,"0"
"5",5,0.000250047,1.99938375e-05,0.00019944225,0.0001986980625,5.99815125e-05,1.278970875e-05,0,4.236789375e-05,0.000265923,2.12632875e-05,0.000176754375,3.521896875e-05,0.0001986980625,2.1183946875e-05,3.521896875e-05,0.000210525328125,7.997535e-05,1.278970875e-05,2.12632875e-05,2.1183946875e-05,1.278970875e-05,0,0,1.35510009375e-05,0,0,2.26133375e-05,0,6.3551840625e-05,2.7102001875e-05,4.505791875e-05,4.48897921875e-05,0.000166201875,4.2526575e-05,0.000106052625,7.04379375e-05,2.12632875e-05,0,0,2.2528959375e-05,7.070175e-05,2.26133375e-05,0,0.000149820375,3.521896875e-05,2.2528959375e-05,0.00011236528125,0.0001865766796875,0.000132465375,4.236789375e-05,0.00017609484375,0.0001754377734375,6.3551840625e-05,1.35510009375e-05,2.2528959375e-05,0.00011222448046875,7.04379375e-05,0,3.745509375e-05,0.00014926134375,0.000210525328125,0.0001346693765625,3.73153359375e-05,0.000260232697265625,"0",0,1.99938375e-05,3.3240375e-05,3.311634375e-05,5.99815125e-05,7.67382525e-05,4.2526575e-05,6.3551840625e-05,0.00019944225,8.505315e-05,0.000176754375,3.521896875e-05,6.62326875e-05,2.1183946875e-05,3.521896875e-05,3.50875546875e-05,1.99938375e-05,0.00010231767,0.0001488430125,0,0.00010231767,4.908812025e-05,0,8.1306005625e-05,0,1.360175375e-05,0,2.2528959375e-05,6.3551840625e-05,5.420400375e-05,4.505791875e-05,8.9779584375e-05,0,6.37898625e-05,0.0001414035,7.04379375e-05,4.2526575e-05,8.16105225e-05,0,2.2528959375e-05,3.5350875e-05,4.5226675e-05,0.0001503815,0.00011236528125,7.04379375e-05,4.505791875e-05,0.00011236528125,0,6.62326875e-05,4.236789375e-05,0.000140875875,7.0175109375e-05,4.236789375e-05,2.7102001875e-05,0,6.733468828125e-05,7.04379375e-05,4.505791875e-05,3.745509375e-05,7.4630671875e-05,0.0001052626640625,2.244489609375e-05,3.73153359375e-05,0.00022305659765625,"0"
"6",6,0.00018753525,7.997535e-05,6.648075e-05,6.62326875e-05,0.0001399568625,1.278970875e-05,0,6.3551840625e-05,3.3240375e-05,0.0001063164375,7.070175e-05,0.00010565690625,3.311634375e-05,4.236789375e-05,0,0.000210525328125,9.99691875e-05,5.1158835e-05,8.505315e-05,6.3551840625e-05,2.55794175e-05,8.181353375e-06,0,2.7102001875e-05,0,0,0,0,2.1183946875e-05,9.48570065625e-05,4.505791875e-05,0.00011222448046875,0,4.2526575e-05,3.5350875e-05,7.04379375e-05,6.37898625e-05,0,0,6.7586878125e-05,0.0001414035,0,0.0001503815,7.49101875e-05,3.521896875e-05,0,7.49101875e-05,7.4630671875e-05,6.62326875e-05,2.1183946875e-05,0.000140875875,7.0175109375e-05,8.47357875e-05,4.06530028125e-05,0,0.00015711427265625,0,2.2528959375e-05,0.000149820375,0,0.0002456128828125,0.00011222448046875,3.73153359375e-05,0.000408937095703125,"0",0.000406326375,7.997535e-05,0,0.00023181440625,9.99691875e-05,1.278970875e-05,0,8.47357875e-05,3.3240375e-05,8.505315e-05,3.5350875e-05,0,0.000132465375,2.1183946875e-05,0.00017609484375,0.0002456128828125,9.99691875e-05,1.278970875e-05,4.2526575e-05,8.47357875e-05,1.278970875e-05,0,0,1.35510009375e-05,0,0,0,0,4.236789375e-05,5.420400375e-05,6.7586878125e-05,8.9779584375e-05,9.9721125e-05,8.505315e-05,0,3.521896875e-05,6.37898625e-05,0,0,9.01158375e-05,0,2.26133375e-05,0,3.745509375e-05,7.04379375e-05,2.2528959375e-05,0.00011236528125,3.73153359375e-05,9.934903125e-05,2.1183946875e-05,0.000140875875,0.0001754377734375,6.3551840625e-05,1.35510009375e-05,0,8.9779584375e-05,0.00024653278125,4.505791875e-05,7.49101875e-05,0.0001865766796875,0.0001754377734375,4.48897921875e-05,0.0001865766796875,7.435219921875e-05,"0"
"7",7,6.251175e-05,5.99815125e-05,6.648075e-05,0.0001986980625,0.0001399568625,0,0,8.47357875e-05,0.00019944225,2.12632875e-05,0.000247456125,0,9.934903125e-05,6.3551840625e-05,3.521896875e-05,3.50875546875e-05,5.99815125e-05,5.1158835e-05,0.0001063164375,2.1183946875e-05,2.55794175e-05,0,0,0,0,0,0,2.2528959375e-05,2.1183946875e-05,1.35510009375e-05,0.00013517375625,0,0.00019944225,8.505315e-05,0.000106052625,3.521896875e-05,6.37898625e-05,1.360175375e-05,2.26133375e-05,2.2528959375e-05,0.0001414035,6.78400125e-05,0.000187976875,0.00029964075,3.521896875e-05,2.2528959375e-05,0.00029964075,0.00014926134375,3.311634375e-05,2.1183946875e-05,0.000140875875,0,2.1183946875e-05,1.35510009375e-05,0,6.733468828125e-05,0.000140875875,4.505791875e-05,0.00029964075,0.0001865766796875,3.50875546875e-05,0,0.00014926134375,0,"0",3.1255875e-05,1.99938375e-05,6.648075e-05,0,7.997535e-05,0,0,2.1183946875e-05,0.0001329615,6.37898625e-05,0.0001414035,0.000140875875,3.311634375e-05,2.1183946875e-05,3.521896875e-05,7.0175109375e-05,3.9987675e-05,1.278970875e-05,0.0001488430125,6.3551840625e-05,3.836912625e-05,8.181353375e-06,2.72035075e-05,9.48570065625e-05,2.12632875e-05,1.360175375e-05,4.5226675e-05,0,2.1183946875e-05,8.1306005625e-05,6.7586878125e-05,0.00011222448046875,3.3240375e-05,6.37898625e-05,0.000106052625,0,2.12632875e-05,9.521227625e-05,2.26133375e-05,6.7586878125e-05,3.5350875e-05,0.000135680025,0.00022557225,7.49101875e-05,7.04379375e-05,4.505791875e-05,3.745509375e-05,0.0001119460078125,0,0,0.00010565690625,7.0175109375e-05,0.000105919734375,6.77550046875e-05,4.505791875e-05,8.9779584375e-05,3.521896875e-05,4.505791875e-05,0.00011236528125,7.4630671875e-05,3.50875546875e-05,0.0001346693765625,0.0001119460078125,0.0001487043984375,"0"
"8",8,0.000218791125,5.99815125e-05,9.9721125e-05,0,7.997535e-05,5.1158835e-05,4.2526575e-05,6.3551840625e-05,6.648075e-05,8.505315e-05,0.0001414035,0.00010565690625,3.311634375e-05,0,7.04379375e-05,3.50875546875e-05,1.99938375e-05,0.00010231767,0.000127579725,4.236789375e-05,6.394854375e-05,2.4544060125e-05,4.080526125e-05,5.420400375e-05,2.12632875e-05,8.16105225e-05,2.26133375e-05,2.2528959375e-05,2.1183946875e-05,5.420400375e-05,9.01158375e-05,2.244489609375e-05,3.3240375e-05,2.12632875e-05,0.0001414035,0,0.000127579725,9.521227625e-05,4.5226675e-05,4.505791875e-05,3.5350875e-05,9.045335e-05,7.519075e-05,7.49101875e-05,0.00010565690625,4.505791875e-05,7.49101875e-05,3.73153359375e-05,9.934903125e-05,2.1183946875e-05,3.521896875e-05,7.0175109375e-05,4.236789375e-05,1.35510009375e-05,4.505791875e-05,2.244489609375e-05,7.04379375e-05,6.7586878125e-05,7.49101875e-05,7.4630671875e-05,7.0175109375e-05,0,3.73153359375e-05,0,"0",0.000156279375,7.997535e-05,6.648075e-05,0.000132465375,5.99815125e-05,3.836912625e-05,0,4.236789375e-05,6.648075e-05,2.12632875e-05,3.5350875e-05,0.000140875875,0.00026493075,6.3551840625e-05,0.00010565690625,0.0001052626640625,9.99691875e-05,1.278970875e-05,6.37898625e-05,4.236789375e-05,2.55794175e-05,1.636270675e-05,0,4.06530028125e-05,0,0,0,0,4.236789375e-05,2.7102001875e-05,4.505791875e-05,6.733468828125e-05,6.648075e-05,6.37898625e-05,3.5350875e-05,3.521896875e-05,6.37898625e-05,1.360175375e-05,0,4.505791875e-05,3.5350875e-05,6.78400125e-05,0,7.49101875e-05,3.521896875e-05,0,0.00011236528125,0.0001865766796875,9.934903125e-05,2.1183946875e-05,7.04379375e-05,0.000350875546875,6.3551840625e-05,1.35510009375e-05,0,4.48897921875e-05,0.000140875875,4.505791875e-05,0.00018727546875,0.0001119460078125,0.0001754377734375,2.244489609375e-05,0.000223892015625,0.000297408796875,"0"
"9",9,6.251175e-05,1.99938375e-05,3.3240375e-05,3.311634375e-05,1.99938375e-05,2.55794175e-05,0,8.47357875e-05,6.648075e-05,4.2526575e-05,0.000106052625,3.521896875e-05,0.000132465375,2.1183946875e-05,7.04379375e-05,0.00014035021875,0,2.55794175e-05,4.2526575e-05,6.3551840625e-05,2.55794175e-05,0,1.360175375e-05,5.420400375e-05,0,0,4.5226675e-05,0,6.3551840625e-05,6.77550046875e-05,6.7586878125e-05,0.00011222448046875,6.648075e-05,2.12632875e-05,7.070175e-05,3.521896875e-05,2.12632875e-05,2.72035075e-05,0,9.01158375e-05,7.070175e-05,6.78400125e-05,7.519075e-05,7.49101875e-05,7.04379375e-05,2.2528959375e-05,3.745509375e-05,0.000223892015625,3.311634375e-05,6.3551840625e-05,0.00010565690625,0.000210525328125,6.3551840625e-05,2.7102001875e-05,4.505791875e-05,8.9779584375e-05,7.04379375e-05,4.505791875e-05,7.49101875e-05,0.0002612073515625,0.00014035021875,8.9779584375e-05,0.0002612073515625,0.0004461131953125,"0",0.000281302875,0.0001599507,9.9721125e-05,9.934903125e-05,7.997535e-05,7.67382525e-05,2.12632875e-05,4.236789375e-05,9.9721125e-05,8.505315e-05,7.070175e-05,0.00010565690625,3.311634375e-05,4.236789375e-05,3.521896875e-05,7.0175109375e-05,0.0001399568625,1.278970875e-05,8.505315e-05,0,5.1158835e-05,1.636270675e-05,1.360175375e-05,6.77550046875e-05,0,1.360175375e-05,2.26133375e-05,0,8.47357875e-05,0,4.505791875e-05,0.0001346693765625,6.648075e-05,4.2526575e-05,3.5350875e-05,0,4.2526575e-05,2.72035075e-05,0,6.7586878125e-05,3.5350875e-05,4.5226675e-05,0,7.49101875e-05,0.000140875875,4.505791875e-05,0,7.4630671875e-05,0.000132465375,4.236789375e-05,0.000140875875,0.0001052626640625,4.236789375e-05,2.7102001875e-05,0,4.48897921875e-05,3.521896875e-05,0,7.49101875e-05,0.0001119460078125,0.0001754377734375,4.48897921875e-05,0.0001119460078125,0.000260232697265625,"0"
"10",10,6.251175e-05,7.997535e-05,0,0.000132465375,7.997535e-05,3.836912625e-05,0,6.3551840625e-05,3.3240375e-05,2.12632875e-05,3.5350875e-05,0.00017609484375,0.00016558171875,2.1183946875e-05,3.521896875e-05,0.00014035021875,7.997535e-05,3.836912625e-05,8.505315e-05,2.1183946875e-05,2.55794175e-05,0,0,2.7102001875e-05,0,0,0,2.2528959375e-05,4.236789375e-05,1.35510009375e-05,2.2528959375e-05,6.733468828125e-05,6.648075e-05,0,0,0.00010565690625,2.12632875e-05,1.360175375e-05,2.26133375e-05,2.2528959375e-05,0,2.26133375e-05,3.7595375e-05,0,0,9.01158375e-05,0.00018727546875,7.4630671875e-05,6.62326875e-05,6.3551840625e-05,0.000140875875,0.00014035021875,0.000105919734375,0,0,2.244489609375e-05,0.000140875875,4.505791875e-05,0,0.0001865766796875,0.000210525328125,0,0.0001119460078125,0.00130116348632813,"0",0.000250047,0.000199938375,0.00019944225,0,0.000199938375,2.55794175e-05,2.12632875e-05,4.236789375e-05,0.00019944225,6.37898625e-05,0.00021210525,7.04379375e-05,0.00016558171875,0,7.04379375e-05,3.50875546875e-05,0.0001799445375,1.278970875e-05,0.000127579725,2.1183946875e-05,2.55794175e-05,8.181353375e-06,0,1.35510009375e-05,0,0,0,4.505791875e-05,4.236789375e-05,1.35510009375e-05,0,4.48897921875e-05,9.9721125e-05,2.12632875e-05,0.000106052625,0.00010565690625,6.37898625e-05,1.360175375e-05,2.26133375e-05,0,0.000106052625,2.26133375e-05,3.7595375e-05,0.00011236528125,0.00010565690625,2.2528959375e-05,0,0.00014926134375,0.00016558171875,6.3551840625e-05,7.04379375e-05,0.00014035021875,4.236789375e-05,0,0,2.244489609375e-05,3.521896875e-05,2.2528959375e-05,3.745509375e-05,3.73153359375e-05,0.00014035021875,2.244489609375e-05,7.4630671875e-05,0.000297408796875,"0"
