"","num","AAA.x","GAA.x","CAA.x","TAA.x","AGA.x","GGA.x","CGA.x","TGA.x","ACA.x","GCA.x","CCA.x","TCA.x","ATA.x","GTA.x","CTA.x","TTA.x","AAG.x","GAG.x","CAG.x","TAG.x","AGG.x","GGG.x","CGG.x","TGG.x","ACG.x","GCG.x","CCG.x","TCG.x","ATG.x","GTG.x","CTG.x","TTG.x","AAC.x","GAC.x","CAC.x","TAC.x","AGC.x","GGC.x","CGC.x","TGC.x","ACC.x","GCC.x","CCC.x","TCC.x","ATC.x","GTC.x","CTC.x","TTC.x","AAT.x","GAT.x","CAT.x","TAT.x","AGT.x","GGT.x","CGT.x","TGT.x","ACT.x","GCT.x","CCT.x","TCT.x","ATT.x","GTT.x","CTT.x","TTT.x","class.x","AAA.y","GAA.y","CAA.y","TAA.y","AGA.y","GGA.y","CGA.y","TGA.y","ACA.y","GCA.y","CCA.y","TCA.y","ATA.y","GTA.y","CTA.y","TTA.y","AAG.y","GAG.y","CAG.y","TAG.y","AGG.y","GGG.y","CGG.y","TGG.y","ACG.y","GCG.y","CCG.y","TCG.y","ATG.y","GTG.y","CTG.y","TTG.y","AAC.y","GAC.y","CAC.y","TAC.y","AGC.y","GGC.y","CGC.y","TGC.y","ACC.y","GCC.y","CCC.y","TCC.y","ATC.y","GTC.y","CTC.y","TTC.y","AAT.y","GAT.y","CAT.y","TAT.y","AGT.y","GGT.y","CGT.y","TGT.y","ACT.y","GCT.y","CCT.y","TCT.y","ATT.y","GTT.y","CTT.y","TTT.y","class.y"
"1",1,2,1,1,0,0,0,0,1,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,3,0,1,0,0,2,0,1,0,1,1,1,1,0,"0",0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,2,2,1,0,0,0,0,1,0,0,1,1,0,0,3,0,0,1,12,"0"
"2",2,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,2,0,2,0,2,2,0,1,5,0,0,0,1,0,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,"0",0,1,0,1,0,1,0,1,0,0,0,2,2,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,3,1,1,0,1,2,1,1,3,"0"
"3",3,0,0,0,2,0,3,0,1,0,1,0,0,1,1,1,0,1,1,1,0,3,5,0,3,0,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,"0",1,1,0,0,0,1,0,1,0,0,0,1,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,3,0,1,1,0,1,0,0,1,2,1,0,4,0,1,1,2,"0"
"4",4,2,3,1,0,5,1,0,2,1,0,1,0,1,0,0,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,"0",0,1,1,0,0,1,0,3,2,0,0,1,1,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,1,0,0,1,0,1,0,1,0,1,1,"0"
"5",5,0,2,0,1,2,3,0,1,0,0,1,1,1,0,0,0,1,3,1,0,3,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,2,1,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,"0",1,0,1,0,0,1,0,0,1,0,3,1,0,0,0,1,1,0,1,1,3,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,1,0,0,0,3,1,1,"0"
"6",6,6,0,0,4,1,0,0,0,0,0,0,1,1,1,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,2,0,0,0,1,0,0,1,3,0,0,1,"0",1,0,1,1,0,0,0,2,1,0,1,1,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,2,1,0,1,0,0,1,1,1,1,1,5,"0"
"7",7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,3,0,0,0,1,0,1,0,1,1,1,2,2,0,0,4,5,"0",6,2,2,1,1,1,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,1,2,"0"
"8",8,3,1,0,3,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,3,2,2,"0",4,1,0,1,2,0,0,0,0,0,0,1,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,1,1,0,4,0,2,2,2,"0"
"9",9,0,0,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,3,2,1,1,2,0,0,0,2,0,0,2,3,1,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,"0",2,0,3,0,0,0,0,0,1,2,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,2,1,0,1,0,2,1,"0"
"10",10,2,2,0,0,1,1,0,2,2,2,0,0,0,1,1,0,0,1,3,0,1,1,0,1,0,0,0,0,2,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,"0",0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,2,1,1,1,1,0,0,1,1,0,1,1,1,2,1,0,2,0,0,1,0,0,0,2,0,0,2,1,2,0,0,1,0,2,"0"
