"","num","AAA.x","GAA.x","CAA.x","TAA.x","AGA.x","GGA.x","CGA.x","TGA.x","ACA.x","GCA.x","CCA.x","TCA.x","ATA.x","GTA.x","CTA.x","TTA.x","AAG.x","GAG.x","CAG.x","TAG.x","AGG.x","GGG.x","CGG.x","TGG.x","ACG.x","GCG.x","CCG.x","TCG.x","ATG.x","GTG.x","CTG.x","TTG.x","AAC.x","GAC.x","CAC.x","TAC.x","AGC.x","GGC.x","CGC.x","TGC.x","ACC.x","GCC.x","CCC.x","TCC.x","ATC.x","GTC.x","CTC.x","TTC.x","AAT.x","GAT.x","CAT.x","TAT.x","AGT.x","GGT.x","CGT.x","TGT.x","ACT.x","GCT.x","CCT.x","TCT.x","ATT.x","GTT.x","CTT.x","TTT.x","class.x","AAA.y","GAA.y","CAA.y","TAA.y","AGA.y","GGA.y","CGA.y","TGA.y","ACA.y","GCA.y","CCA.y","TCA.y","ATA.y","GTA.y","CTA.y","TTA.y","AAG.y","GAG.y","CAG.y","TAG.y","AGG.y","GGG.y","CGG.y","TGG.y","ACG.y","GCG.y","CCG.y","TCG.y","ATG.y","GTG.y","CTG.y","TTG.y","AAC.y","GAC.y","CAC.y","TAC.y","AGC.y","GGC.y","CGC.y","TGC.y","ACC.y","GCC.y","CCC.y","TCC.y","ATC.y","GTC.y","CTC.y","TTC.y","AAT.y","GAT.y","CAT.y","TAT.y","AGT.y","GGT.y","CGT.y","TGT.y","ACT.y","GCT.y","CCT.y","TCT.y","ATT.y","GTT.y","CTT.y","TTT.y","class.y"
"1",1,0,0,3,1,2,0,1,3,2,2,3,4,0,3,1,5,1,4,4,1,2,0,1,2,1,1,1,2,1,5,3,4,2,1,2,2,2,3,1,3,3,3,3,5,2,3,7,3,1,1,2,5,4,2,2,5,1,3,6,4,6,2,3,4,"0",1,4,1,0,7,5,2,3,1,3,5,3,2,3,0,0,2,5,5,3,4,1,0,5,1,0,2,0,2,2,6,3,0,8,2,1,2,2,0,3,6,3,7,3,3,2,4,0,3,0,4,1,2,2,1,2,3,1,5,3,1,1,2,1,"0"
"2",2,5,3,3,3,3,2,0,5,2,6,2,1,2,5,1,4,4,1,4,5,2,0,1,2,0,0,1,0,2,4,1,7,1,2,1,2,5,2,0,1,0,2,2,1,1,1,0,2,4,3,3,3,4,1,0,6,4,0,0,2,8,1,4,12,"0",8,1,6,6,3,1,0,2,8,1,5,1,6,1,1,6,4,1,1,1,1,0,0,1,0,0,1,0,3,2,2,2,5,2,3,2,1,0,0,1,2,1,0,4,1,1,3,5,4,2,5,5,3,1,1,5,2,0,1,4,6,6,1,7,"0"
"3",3,6,1,5,3,0,2,1,1,4,2,3,5,5,2,2,0,3,1,2,0,1,3,0,3,0,0,1,0,2,4,4,4,2,1,3,1,3,0,0,3,1,2,0,3,3,5,5,4,3,1,4,5,2,2,0,7,2,2,2,10,3,0,5,5,"0",0,0,2,0,3,0,0,5,1,2,4,4,0,3,2,2,1,3,6,3,2,3,0,4,0,1,0,1,4,6,6,2,1,1,2,1,4,3,0,4,2,4,1,3,1,1,7,3,0,4,1,3,4,3,2,5,2,4,5,4,4,3,0,7,"0"
"4",4,1,2,1,4,2,1,0,2,2,2,3,3,5,3,4,3,1,0,1,1,0,0,0,4,0,0,0,1,1,1,4,5,3,0,3,2,0,2,0,2,2,1,5,3,4,1,1,7,2,3,5,8,1,1,1,4,4,1,3,6,8,2,5,12,"0",13,3,4,0,5,4,1,5,5,3,3,1,0,1,1,0,0,8,6,1,3,3,2,3,0,3,2,1,1,6,4,4,6,2,2,1,2,4,0,5,2,2,1,2,1,1,3,1,1,2,0,0,4,1,3,2,4,3,1,2,1,2,2,0,"0"
"5",5,12,1,4,6,2,0,0,4,5,1,1,1,4,1,3,11,3,1,0,2,0,0,0,2,0,0,0,0,2,1,2,4,5,2,1,5,2,1,0,1,1,0,0,2,0,0,2,2,3,2,4,6,2,1,0,2,7,3,2,1,9,2,6,12,"0",7,1,2,5,3,2,0,4,0,2,2,6,7,2,0,3,3,2,3,2,4,4,0,4,0,0,0,0,1,3,4,5,0,3,1,2,0,5,0,2,2,1,0,2,3,1,4,2,4,3,4,4,3,1,0,3,4,4,3,2,4,1,5,5,"0"
"6",6,6,4,2,2,7,1,0,3,1,5,2,3,1,2,0,6,5,4,4,3,2,1,0,2,0,0,0,0,1,7,2,5,0,2,1,2,3,0,0,3,4,0,4,2,1,0,2,2,2,1,4,2,4,3,0,7,0,1,4,0,7,5,1,11,"0",2,4,1,3,6,4,0,2,1,1,1,6,0,2,5,1,3,6,7,2,6,4,0,4,0,0,0,0,1,4,6,2,5,1,0,3,1,3,0,1,1,1,1,2,1,5,5,3,1,1,1,0,5,3,0,6,7,3,3,5,1,3,2,1,"0"
"7",7,2,3,2,6,7,0,0,4,6,1,7,0,3,3,1,1,3,4,5,1,2,0,0,0,0,0,0,1,1,1,6,0,6,4,3,1,3,1,1,1,4,3,5,8,1,1,8,4,1,1,4,0,1,1,0,3,4,2,8,5,1,0,4,0,"0",7,5,0,6,4,3,1,1,1,4,1,1,3,3,5,4,2,2,1,6,4,2,0,5,0,0,0,1,3,0,2,3,2,1,0,0,1,4,0,1,0,0,0,2,2,1,1,6,6,1,6,3,2,3,0,1,2,2,1,6,8,2,3,12,"0"
"8",8,7,3,3,0,4,4,2,3,2,4,4,3,1,0,2,1,1,8,6,2,5,3,3,4,1,6,1,1,1,4,4,1,1,1,4,0,6,7,2,2,1,4,2,2,3,2,2,1,3,1,1,2,2,1,2,1,2,3,2,2,2,0,1,0,"0",3,1,1,5,5,1,0,3,1,2,3,5,7,2,3,5,2,2,4,5,3,0,0,0,0,0,0,0,2,0,4,3,2,2,2,1,0,1,0,3,2,0,2,2,1,4,1,5,3,4,4,5,6,1,0,3,4,2,1,4,6,4,3,9,"0"
"9",9,2,1,1,1,1,2,0,4,2,2,3,1,4,1,2,4,0,2,2,3,2,0,1,4,0,0,2,0,3,5,3,5,2,1,2,1,1,2,0,4,2,3,2,2,2,1,1,6,1,3,3,6,3,2,2,4,2,2,2,7,4,4,7,12,"0",3,4,1,2,3,3,2,2,7,0,3,4,1,0,0,2,2,3,7,1,5,2,3,1,0,3,1,3,1,2,4,2,1,3,5,0,3,3,2,2,2,2,3,2,2,4,4,4,4,0,1,0,1,3,0,4,1,5,2,5,1,2,5,6,"0"
"10",10,2,4,0,4,4,3,0,3,1,1,1,5,5,1,1,4,4,3,4,1,2,0,0,2,0,0,0,1,2,1,1,3,2,0,0,3,1,1,1,1,0,1,1,0,0,4,5,2,2,3,4,4,5,0,0,1,4,2,0,5,6,0,3,35,"0",6,7,4,4,2,3,0,3,6,0,2,4,2,4,4,4,4,0,6,0,5,2,0,0,1,0,0,0,1,5,2,3,4,1,2,7,0,0,0,1,1,0,1,2,2,1,1,3,7,0,0,2,3,2,1,7,7,1,1,1,4,3,3,7,"0"
